epoch,train_loss,val_mae,lr
1,0.005197,0.054664,3.6756756756756765e-05
2,0.001861,0.031284,6.351351351351353e-05
3,0.001285,0.029023,9.02702702702703e-05
4,0.001184,0.027847,0.00011702702702702706
5,0.001143,0.027271,0.00014378378378378384
6,0.001121,0.027052,0.0001705405405405406
7,0.001108,0.026954,0.00019729729729729738
8,0.001098,0.026922,0.00022405405405405415
9,0.001091,0.02691,0.0002508108108108109
10,0.001085,0.027031,0.0002775675675675677
11,0.00108,0.027073,0.00030432432432432447
12,0.001074,0.026812,0.00033108108108108124
13,0.00107,0.027201,0.000357837837837838
14,0.001065,0.026754,0.00038459459459459474
15,0.00106,0.026834,0.00041135135135135145
16,0.001055,0.027015,0.0004381081081081082
17,0.001048,0.026988,0.00046486486486486495
18,0.00103,0.026417,0.0004916216216216217
19,0.001015,0.026762,0.0005183783783783785
20,0.00101,0.025357,0.0005451351351351354
21,0.001005,0.025232,0.0005718918918918921
22,0.001002,0.025665,0.0005986486486486488
23,0.001,0.025224,0.0006254054054054055
24,0.000998,0.026829,0.0006521621621621624
25,0.000996,0.025436,0.0006789189189189191
26,0.000995,0.02558,0.0007056756756756758
27,0.000994,0.026244,0.0007324324324324326
28,0.000993,0.02588,0.0007591891891891894
29,0.000992,0.025385,0.0007859459459459462
30,0.000991,0.025472,0.0008127027027027029
31,0.00099,0.02802,0.0008394594594594596
32,0.00099,0.027443,0.0008662162162162163
33,0.000989,0.026439,0.0008929729729729731
34,0.000988,0.025199,0.00091972972972973
35,0.000988,0.026196,0.0009464864864864868
36,0.000986,0.025275,0.0009732432432432436
37,0.000986,0.025714,0.001
38,0.000985,0.024996,0.000999995151298149
39,0.000982,0.026443,0.0009999806052867297
40,0.000982,0.026318,0.000999956362248142
41,0.000981,0.025176,0.0009999224226530453
42,0.00098,0.025804,0.0009998787871603506
43,0.000979,0.026279,0.0009998254566172067
44,0.000978,0.025641,0.0009997624320589847
45,0.000978,0.02537,0.0009996897147092577
46,0.000977,0.02623,0.000999607305979776
47,0.000976,0.025212,0.0009995152074704413
48,0.000976,0.025495,0.0009994134209692742
49,0.000976,0.02687,0.0009993019484523806
50,0.000975,0.025686,0.0009991807920839123
51,0.000975,0.025107,0.0009990499542160262
52,0.000975,0.02538,0.0009989094373888377
53,0.000974,0.026645,0.0009987592443303714
54,0.000974,0.0252,0.000998599377956509
55,0.000974,0.025398,0.0009984298413709312
56,0.000973,0.02512,0.0009982506378650592
57,0.000973,0.026561,0.0009980617709179893
58,0.000973,0.02646,0.0009978632441964266
59,0.000973,0.025606,0.0009976550615546126
60,0.000973,0.026809,0.0009974372270342515
61,0.000972,0.025169,0.0009972097448644308
62,0.000972,0.025513,0.0009969726194615396
63,0.000972,0.025808,0.0009967258554291834
