epoch,train_loss,val_mae,lr
37,0.000239,0.009161,0.001
38,0.000232,0.008863,0.000999995151298149
39,0.000225,0.010317,0.0009999806052867297
40,0.000221,0.010239,0.000999956362248142
41,0.000215,0.00859,0.0009999224226530453
42,0.000211,0.008875,0.0009998787871603506
43,0.000208,0.01079,0.0009998254566172067
44,0.000206,0.008608,0.0009997624320589847
45,0.000201,0.007981,0.0009996897147092577
46,0.000197,0.012768,0.000999607305979776
47,0.000199,0.009443,0.0009995152074704413
48,0.000202,0.00857,0.0009994134209692742
49,0.000187,0.007861,0.0009993019484523806
50,0.000191,0.007701,0.0009991807920839123
51,0.000187,0.007867,0.0009990499542160262
52,0.000188,0.008198,0.0009989094373888377
53,0.000184,0.007592,0.0009987592443303714
54,0.000182,0.007676,0.000998599377956509
55,0.000183,0.008312,0.0009984298413709312
56,0.000181,0.007341,0.0009982506378650592
57,0.000177,0.007241,0.0009980617709179893
58,0.000176,0.007322,0.0009978632441964266
59,0.000177,0.007154,0.0009976550615546126
60,0.000178,0.007594,0.0009974372270342515
61,0.000171,0.007475,0.0009972097448644308
62,0.000174,0.010096,0.0009969726194615396
63,0.000173,0.007128,0.0009967258554291834
64,0.000171,0.007022,0.0009964694575580935
65,0.000171,0.007326,0.000996203430826035
66,0.00017,0.008657,0.00099592778039771
67,0.000163,0.006915,0.000995642511624657
68,0.00017,0.006722,0.000995347630045147
69,0.000167,0.006769,0.0009950431413840767
70,0.000162,0.008253,0.000994729051552856
71,0.000168,0.006649,0.0009944053666492948
72,0.000163,0.007235,0.0009940720929574834
73,0.000165,0.006617,0.0009937292369476712
74,0.00016,0.008476,0.0009933768052761407
75,0.000163,0.006795,0.0009930148047850786
76,0.000165,0.006469,0.0009926432425024425
77,0.000157,0.006458,0.000992262125641825
78,0.000159,0.006466,0.0009918714616023133
79,0.000162,0.006526,0.0009914712579683457
80,0.000162,0.007096,0.0009910615225095642
81,0.000154,0.006954,0.0009906422631806636
82,0.00016,0.006459,0.0009902134881212376
83,0.000157,0.006557,0.0009897752056556204
84,0.000154,0.006514,0.0009893274242927248
85,0.000156,0.006641,0.000988870152725877
86,0.000156,0.0071,0.0009884033998326493
