epoch,train_loss,val_mae,lr
1,0.021533,0.144597,3.6756756756756765e-05
2,0.004218,0.06345,6.351351351351353e-05
3,0.003034,0.059187,9.02702702702703e-05
4,0.002783,0.057446,0.00011702702702702706
5,0.002619,0.056344,0.00014378378378378384
6,0.002494,0.055156,0.0001705405405405406
7,0.002381,0.05301,0.00019729729729729738
8,0.002276,0.051692,0.00022405405405405415
9,0.002195,0.050502,0.0002508108108108109
10,0.002109,0.04883,0.0002775675675675677
11,0.002001,0.046226,0.00030432432432432447
12,0.001899,0.044638,0.00033108108108108124
13,0.001831,0.044093,0.000357837837837838
14,0.001782,0.043511,0.00038459459459459474
15,0.001742,0.042895,0.00041135135135135145
16,0.001705,0.042621,0.0004381081081081082
17,0.001672,0.043013,0.00046486486486486495
18,0.001639,0.042239,0.0004916216216216217
19,0.001614,0.042136,0.0005183783783783785
20,0.001578,0.042019,0.0005451351351351354
21,0.001547,0.041791,0.0005718918918918921
22,0.001523,0.041649,0.0005986486486486488
23,0.001489,0.041532,0.0006254054054054055
24,0.001463,0.041424,0.0006521621621621624
25,0.001435,0.041289,0.0006789189189189191
26,0.001405,0.041337,0.0007056756756756758
27,0.001379,0.041195,0.0007324324324324326
28,0.001355,0.041135,0.0007591891891891894
29,0.001329,0.040712,0.0007859459459459462
30,0.001304,0.040868,0.0008127027027027029
31,0.001281,0.040432,0.0008394594594594596
32,0.001259,0.040701,0.0008662162162162163
33,0.001237,0.040622,0.0008929729729729731
34,0.001217,0.040253,0.00091972972972973
35,0.0012,0.040019,0.0009464864864864868
36,0.001184,0.039743,0.0009732432432432436
37,0.001167,0.040055,0.001
38,0.001156,0.039508,0.000999995151298149
39,0.001139,0.039425,0.0009999806052867297
40,0.00113,0.039632,0.000999956362248142
41,0.001116,0.039474,0.0009999224226530453
42,0.001106,0.039105,0.0009998787871603506
43,0.001099,0.039154,0.0009998254566172067
44,0.00109,0.039157,0.0009997624320589847
45,0.001082,0.039015,0.0009996897147092577
46,0.001075,0.039361,0.000999607305979776
47,0.001067,0.038671,0.0009995152074704413
48,0.001061,0.038777,0.0009994134209692742
49,0.001057,0.038491,0.0009993019484523806
50,0.001049,0.039522,0.0009991807920839123
51,0.001046,0.038593,0.0009990499542160262
52,0.001037,0.038512,0.0009989094373888377
53,0.001035,0.038236,0.0009987592443303714
54,0.001033,0.038214,0.000998599377956509
55,0.001023,0.038248,0.0009984298413709312
56,0.00102,0.039704,0.0009982506378650592
57,0.001018,0.037934,0.0009980617709179893
58,0.001011,0.037821,0.0009978632441964266
59,0.001008,0.037863,0.0009976550615546126
60,0.001005,0.038511,0.0009974372270342515
61,0.000998,0.037849,0.0009972097448644308
62,0.000997,0.037559,0.0009969726194615396
63,0.000992,0.037484,0.0009967258554291834
64,0.000989,0.037381,0.0009964694575580935
65,0.000984,0.037938,0.000996203430826035
66,0.000984,0.037259,0.00099592778039771
67,0.000978,0.037198,0.000995642511624657
68,0.000976,0.037131,0.000995347630045147
69,0.000968,0.037008,0.0009950431413840767
70,0.00097,0.036918,0.000994729051552856
71,0.000963,0.036916,0.0009944053666492948
72,0.000962,0.036778,0.0009940720929574834
73,0.000956,0.036706,0.0009937292369476712
74,0.000956,0.036628,0.0009933768052761407
75,0.000951,0.03668,0.0009930148047850786
