epoch,train_loss,val_mae,lr
1,0.015371,0.20951,3.6756756756756765e-05
2,0.006018,0.094452,6.351351351351353e-05
3,0.004073,0.091577,9.02702702702703e-05
4,0.003838,0.090375,0.00011702702702702706
5,0.003704,0.089088,0.00014378378378378384
6,0.003591,0.087807,0.0001705405405405406
7,0.003501,0.087232,0.00019729729729729738
8,0.003446,0.08681,0.00022405405405405415
9,0.003404,0.086615,0.0002508108108108109
10,0.003371,0.086542,0.0002775675675675677
11,0.003339,0.0863,0.00030432432432432447
12,0.003305,0.08568,0.00033108108108108124
13,0.00327,0.085479,0.000357837837837838
14,0.003236,0.08492,0.00038459459459459474
15,0.0032,0.084723,0.00041135135135135145
16,0.003167,0.084215,0.0004381081081081082
17,0.003133,0.083958,0.00046486486486486495
18,0.003098,0.083602,0.0004916216216216217
19,0.003063,0.08331,0.0005183783783783785
20,0.003027,0.083045,0.0005451351351351354
21,0.002995,0.082782,0.0005718918918918921
22,0.002961,0.082609,0.0005986486486486488
23,0.002929,0.082972,0.0006254054054054055
24,0.002896,0.082707,0.0006521621621621624
25,0.002867,0.081919,0.0006789189189189191
26,0.002837,0.08183,0.0007056756756756758
27,0.002807,0.081498,0.0007324324324324326
28,0.002778,0.081266,0.0007591891891891894
29,0.002751,0.080921,0.0007859459459459462
30,0.002722,0.080561,0.0008127027027027029
31,0.002694,0.080261,0.0008394594594594596
32,0.002667,0.079933,0.0008662162162162163
33,0.002646,0.079599,0.0008929729729729731
34,0.002619,0.07938,0.00091972972972973
35,0.002598,0.07901,0.0009464864864864868
36,0.002577,0.078685,0.0009732432432432436
37,0.002555,0.07843,0.001
38,0.002535,0.078091,0.000999995151298149
39,0.002517,0.077963,0.0009999806052867297
40,0.002496,0.077608,0.000999956362248142
41,0.002484,0.077286,0.0009999224226530453
42,0.002465,0.077056,0.0009998787871603506
43,0.002452,0.077091,0.0009998254566172067
44,0.002438,0.076645,0.0009997624320589847
45,0.002425,0.076612,0.0009996897147092577
46,0.002413,0.076315,0.000999607305979776
47,0.002399,0.07614,0.0009995152074704413
48,0.002391,0.0759,0.0009994134209692742
49,0.002377,0.076009,0.0009993019484523806
50,0.002368,0.075712,0.0009991807920839123
51,0.002357,0.075575,0.0009990499542160262
52,0.00235,0.075468,0.0009989094373888377
53,0.002339,0.075192,0.0009987592443303714
54,0.002331,0.075114,0.000998599377956509
55,0.002323,0.074904,0.0009984298413709312
56,0.002315,0.074847,0.0009982506378650592
57,0.002307,0.074733,0.0009980617709179893
58,0.0023,0.074616,0.0009978632441964266
59,0.002293,0.07468,0.0009976550615546126
60,0.002286,0.074696,0.0009974372270342515
61,0.002279,0.074152,0.0009972097448644308
62,0.002273,0.074099,0.0009969726194615396
63,0.002268,0.074097,0.0009967258554291834
64,0.002263,0.074311,0.0009964694575580935
65,0.002257,0.073959,0.000996203430826035
66,0.00225,0.073814,0.00099592778039771
67,0.002246,0.073647,0.000995642511624657
