epoch,train_loss,val_mae,lr
1,0.005699,0.079367,1.8378378378378383e-05
2,0.001739,0.021814,3.1756756756756766e-05
3,0.000619,0.016525,4.513513513513515e-05
4,0.000467,0.013671,5.851351351351353e-05
5,0.000423,0.011336,7.189189189189192e-05
6,0.000377,0.009859,8.52702702702703e-05
7,0.000347,0.011714,9.864864864864869e-05
8,0.000323,0.008727,0.00011202702702702708
9,0.000303,0.008641,0.00012540540540540546
10,0.000282,0.008598,0.00013878378378378385
11,0.000273,0.009667,0.00015216216216216224
12,0.000254,0.009164,0.00016554054054054062
13,0.000245,0.008181,0.000178918918918919
14,0.000235,0.010024,0.00019229729729729737
15,0.000224,0.007435,0.00020567567567567573
16,0.000215,0.00724,0.0002190540540540541
17,0.000219,0.009605,0.00023243243243243247
18,0.000198,0.006672,0.00024581081081081086
19,0.00019,0.006772,0.00025918918918918927
20,0.000196,0.012605,0.0002725675675675677
21,0.000175,0.008664,0.00028594594594594605
22,0.000166,0.005523,0.0002993243243243244
23,0.000159,0.010479,0.00031270270270270276
24,0.000152,0.007796,0.0003260810810810812
25,0.000144,0.005144,0.00033945945945945954
26,0.000137,0.007736,0.0003528378378378379
27,0.000135,0.013864,0.0003662162162162163
28,0.000124,0.005319,0.0003795945945945947
29,0.000116,0.004863,0.0003929729729729731
30,0.00011,0.005512,0.00040635135135135144
31,0.00041,0.009554,0.0004197297297297298
32,0.000154,0.007572,0.00043310810810810816
33,0.000132,0.006718,0.0004464864864864866
34,0.000119,0.007291,0.000459864864864865
35,0.000111,0.006304,0.0004732432432432434
36,9.8e-05,0.00587,0.0004866216216216218
37,9.4e-05,0.005354,0.0005
38,8.6e-05,0.008614,0.0004999975780758522
39,8e-05,0.007219,0.0004999903123504287
40,7.5e-05,0.005787,0.0004999782029647878
41,7.2e-05,0.005376,0.0004999612501540237
42,6.7e-05,0.004905,0.0004999394542472623
43,6.4e-05,0.004614,0.0004999128156676539
44,6.2e-05,0.005284,0.0004998813349323658
45,0.000232,0.007196,0.0004998450126525722
46,8.9e-05,0.006027,0.0004998038495334417
47,7.5e-05,0.005833,0.0004997578463741243
48,6.9e-05,0.005247,0.0004997070040677356
49,6.2e-05,0.005141,0.0004996513236013392
50,6e-05,0.005865,0.0004995908060559281
51,5.5e-05,0.005205,0.0004995254526064034
52,5.5e-05,0.005011,0.0004994552645215515
53,5.3e-05,0.008551,0.0004993802431640192
54,5.1e-05,0.005084,0.000499300389990288
55,5.1e-05,0.00455,0.000499215706550645
56,4.9e-05,0.004468,0.0004991261944891534
57,6.4e-05,0.004444,0.00049903185554362
58,4.5e-05,0.004311,0.0004989326915455622
59,4.6e-05,0.004363,0.0004988287044201717
60,4.6e-05,0.00662,0.0004987198961862775
61,4.5e-05,0.009958,0.0004986062689563071
62,4.5e-05,0.004171,0.0004984878249362444
63,4.4e-05,0.004224,0.0004983645664255879
64,4.4e-05,0.004343,0.0004982364958173057
65,0.000187,0.006647,0.000498103615597789
